country_name,country_code,year,health_expenditure_pct_gdp,health_expenditure_percap_usd,gdp_growth_pct_annual,gdp_percap_usd,military_expenditure_pct_gdp,military_expenditure_usd,pop_age_above_65_pct_total_pop,total_pop,gov_revenue_gdp_pct,urban_pop_pct_total_pop
Afghanistan,AFG,2014,9.52887821,60.04951096,2.724543362,625.0549418,1.298012878,268238787.7,2.356535665,32792523,8.613730505,24.587
Albania,ALB,2014,6.43451118,293.1267395,2.240226954,4602.230514,1.346515991,178120368,12.16676921,2889104,24.39934902,56.423
Algeria,DZA,2014,6.01485014,366.5867004,4.099999999,6094.693923,5.548483336,9724379972,5.086182754,39205031,.,70.221
American Samoa,ASM,2014,.,.,1.762820513,12026.33449,.,.,4.906856694,53466,.,87.288
Andorra,AND,2014,6.77308035,3001.196045,2.504465521,44369.65969,.,.,12.86057203,73737,.,88.441
Angola,AGO,2014,2.43412876,130.5861969,4.82255927,5005.999741,4.698454516,6846249313,2.704494436,27160769,30.88454851,62.731
Antigua and Barbuda,ATG,2014,5.87269926,826.7559815,2.198291887,15532.10621,.,.,7.851067425,88765,.,25.175
Argentina,ARG,2014,9.67129993,1274.661255,-2.512615321,12233.14441,0.878100924,4979442724,10.89414213,43024071,22.33229437,91.377
Armenia,ARM,2014,10.17827892,404.3387451,3.600000001,3852.118006,3.943378265,457807021.8,10.77672903,3013800,24.51455671,63.112
Aruba,ABW,2014,.,.,-1.586575138,26129.83906,.,.,11.1519021,106807,.,43.041
Australia,AUS,2014,9.82490253,6098.254395,2.595284116,62544.08738,1.773057778,25783708714,14.63439339,23475686,24.36334397,85.602
Austria,AUT,2014,10.36809158,5393.602051,0.75579885,51314.97226,0.747780095,3305159256,18.38805637,8546356,45.2975197,57.526
Azerbaijan,AZE,2014,3.58703041,280.2231445,2.797585434,7890.840281,4.555013124,3427179917,5.715736811,9535079,39.89639764,54.422
"Bahamas, The",BHS,2014,5.62925673,1619.432129,1.847305942,29137.21756,.,.,10.04007345,382298,13.19684609,82.668
Bahrain,BHR,2014,4.41240263,1122.1604,4.308856927,26451.79656,4.418512028,1475265957,2.625399132,1314562,23.4144864,88.915
Bangladesh,BGD,2014,2.27915168,29.91152382,6.061059359,1094.461997,1.136443272,2355991525,4.756567531,157964929,10.86688561,33.535
Barbados,BRB,2014,6.96651411,1175.443481,0.082405478,19277.94236,.,.,12.63310676,278348,21.80206826,31.328
Belarus,BLR,2014,5.38792181,448.2742615,1.651124685,8341.318093,1.042327636,821490199.3,14.05726399,9448515,27.9218864,76.693
Belgium,BEL,2014,10.6084671,5079.825195,1.765540381,47995.7787,0.970959791,5191507315,17.96215098,11209057,42.39056219,97.833
Belize,BLZ,2014,4.89683533,298.2259827,4.030845578,6128.142885,0.931581993,19916875,4.027971828,348923,22.35256918,45.335
Benin,BEN,2014,2.69111967,32.41182327,6.357679098,1204.399187,0.700924949,92990706.19,3.046304564,11030004,.,45.166
Bermuda,BMU,2014,.,.,-3.701067594,100961.5766,.,.,15.58186025,63529,.,100
Bhutan,BTN,2014,3.28293824,87.19132233,5.881085507,2849.499986,.,.,5.516753633,733139,18.18816417,37.918
Bolivia,BOL,2014,5.89613628,179.3274231,5.460569506,3041.435032,1.896915045,625909654.6,5.567542703,10848888,.,68.047
Bosnia and Herzegovina,BIH,2014,9.49011135,493.0733337,1.153851092,5206.065583,1.025826887,190380454.6,16.7737639,3564829,39.41685466,46.84
Botswana,BWA,2014,5.8804059,418.8245239,5.69714422,7122.364234,2.211997144,346281321.7,3.485311531,2172044,39.94171187,66.368
Brazil,BRA,2014,8.39644146,1030.66272,0.50395574,12274.99397,1.330244423,32660239369,7.65357587,200085127,24.04106063,85.492
British Virgin Islands,VGB,2014,.,.,.,.,.,.,6.725926825,32962,.,46.216
Brunei Darussalam,BRN,2014,1.91436803,785.4121094,-2.507887216,41026.50839,3.086860958,527785180.5,3.940367198,416750,.,76.332
Bulgaria,BGR,2014,7.68306208,605.2589111,0.949448985,8069.600057,1.309602232,747532532.1,19.77573872,7073572,33.3619386,73.651
Burkina Faso,BFA,2014,5.00027227,38.24516678,4.326845615,764.8616751,1.272341952,177166971.8,2.629435944,18229461,15.46513312,26.934
Burundi,BDI,2014,7.21081543,18.06601143,4.240650214,250.5404811,2.297945591,62177428.74,2.212312458,10799785,15.72264962,11.776
Cabo Verde,CPV,2014,4.85231543,193.3948212,0.69666684,3985.607065,0.492596174,10048862.07,5.039959947,512326,17.84062343,63.81
Cambodia,KHM,2014,5.07833052,72.69956207,8.000320746,1431.563965,1.656794879,277974068.1,4.406940117,15396772,12.56323688,21.799
Cameroon,CMR,2014,4.34148788,71.61038208,5.719818145,1649.443391,1.104979623,401529118.1,2.877194373,22059893,16.33296162,53.976
Canada,CAN,2014,10.28526115,5212.008789,2.873466778,50960.84312,0.989925299,17853640478,15.62324418,35434066,16.97922249,81.218
Cayman Islands,CYM,2014,.,.,2.654527985,75845.30604,.,.,5.941606203,60160,.,100
Central African Republic,CAF,2014,4.56557369,18.7120266,0.081070515,409.850486,2.029654395,38407009.92,1.907009069,4623182,4.581282071,39.959
